id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
23d558163bb1c7863c73485048e50858,szczecin,,53.8,2.0,5.0,5.0,,53.42942948,14.55464244,0.79,60.0,0.147,0.437,0.328,0.198,0.009,0.465,0.073,cooperative,,,no,no,yes,no,no,420000
8373aa373dbc3fe7ca3b7434166b8766,szczecin,tenement,73.02,3.0,2.0,3.0,,53.45222222,14.55333333,3.24,9.0,0.275,0.672,0.367,0.246,0.3,1.857,0.28,condominium,brick,,no,no,no,no,no,565000
ede1c0d953ff85f3cd9676d39ca8f62d,szczecin,blockOfFlats,37.0,2.0,8.0,10.0,1970.0,53.4426918989896,14.5596899116512,2.15,16.0,0.273,0.492,0.652,0.291,0.348,1.404,0.205,cooperative,concreteSlab,,no,yes,yes,yes,yes,429995
6c807c6c86a74c57a3fd4445a1f49a46,szczecin,apartmentBuilding,48.0,2.0,4.0,6.0,,53.4354614227548,14.5704357940461,1.48,14.0,0.293,1.009,0.283,0.426,0.176,0.895,0.177,condominium,brick,,no,yes,no,no,no,550000
bb14c9a540275da73f6cb6ed42e5c26c,szczecin,apartmentBuilding,55.19,2.0,1.0,2.0,2013.0,53.4820942622926,14.5425736011197,6.64,2.0,1.769,2.783,1.394,0.944,0.172,3.209,0.043,condominium,brick,premium,yes,yes,no,yes,yes,607000
355336466ec74696782ce382341086bd,szczecin,,58.6,2.0,,4.0,,53.4527742,14.4779792,6.39,4.0,0.24,2.2,0.962,0.765,0.286,3.684,0.239,cooperative,brick,,no,no,no,no,no,459000
441acf919a406dbfde1e9882910e5696,szczecin,apartmentBuilding,81.0,4.0,3.0,4.0,2022.0,53.4166042731236,14.5361518736075,1.81,11.0,0.336,0.491,0.269,0.353,0.354,0.469,0.471,condominium,brick,premium,yes,yes,yes,no,no,849000
a7663eb8c445a42d86392d55fe668b52,szczecin,tenement,56.35,2.0,2.0,3.0,1920.0,53.44695,14.55296,2.67,15.0,0.279,0.659,0.58,0.454,0.022,1.401,0.165,condominium,brick,premium,yes,yes,no,no,yes,360000
19ce78a229df01150057f83a809937f7,szczecin,blockOfFlats,89.0,5.0,4.0,5.0,1990.0,53.4226605,14.4910943,4.63,11.0,0.167,0.19,0.23,0.361,0.042,2.703,0.11,cooperative,concreteSlab,premium,no,yes,no,no,yes,700000
05a0a9aa7cfbb6f9e7239da2295c2f3f,szczecin,tenement,97.2,4.0,,3.0,1930.0,53.4354,14.5613,1.33,18.0,0.311,0.404,0.434,0.403,0.161,0.673,0.26,condominium,brick,,yes,no,no,no,yes,720000
